,school,count
587,台湾淡江大学西语系,1
588,哈尔滨艺术学院,1
589,成都工贸职业技术学院,1
590,北京政法职业学院,1
591,清华大学，湖北美术学院,1
592,武汉音乐学院（2010级）,1
593,黑龙江外国语学院,1
594,湖南师范学院,1
595,中国音乐学院,1
596,中国文化大学戏剧学系,1
597,江苏省戏曲学校,1
598,台北市怀生国中,1
599,英国波斯顿大学,1
600,北京市东直门中学,1
601,法国所邦大学,1
602,香港中文大学工商管理学,1
603,育达高职（2005年）,1
604,中北国际演艺学校,1
605,嘉义高中,1
606,国立台北商业技术学院,1
607,华中师范大学武汉传媒学院,1
608,上海电机学院,1
609,英国格拉斯哥大学,1
610,华东政法学院,1
611,不详,1
612,上海交通大学,1
613,广西艺术学院,1
614,国立艺校,1
615,中南财经政法大学,1
616,上海戏剧学院,1
617,湖北省书画艺术学院,1
618,哈佛大学,1
619,肇庆工贸学院,1
620,中国台湾明道大学,1
621,上海市松江二中（高一退学）,1
622,湖州卫校,1
623,沈阳音乐学院 声乐教育系,1
624,天津音乐学院2006级现代音乐系,1
625,新疆教育学院,1
626,湖南省艺术学校,1
627,义安理工学院华文传媒系,1
628,北京理工大学,1
629,北京电影学院表演系研修,1
630,邮电学院,1
631,温斯顿爵士邱吉尔中等学校,1
632,美国罗德岛设计学院,1
633,博允中学,1
634,香港专业教育学院,1
635,国立东华大学运动与休闲学系,1
636,重庆大学,1
637,澳大利亚Rmit Holmes College,1
638,台中私立学校,1
639,郑州轻工业学院,1
640,St. Paul's Primary School,1
641,圣保罗男女中学,1
642,电子科技大学,1
643,安徽艺术学院,1
644,华中师范大学,1
645,北京四中,1
646,武汉体育学院体育舞蹈专业,1
647,四川音乐学院 河南大学,1
648,香港澳洲国际学校,1
649,邵阳师专,1
650,德阳中学,1
651,沈阳音乐学院（就读中）,1
652,Eric Hamber Secondary School,1
653,海南大学艺术学院,1
654,解放军艺术学院音乐系,1
655,意大利帕维亚音乐学院,1
656,霍格沃茨 斯莱特林（1962~1968）,1
657,齐鲁音乐学院,1
658,四川师范大学音乐学院声乐系,1
659,哈尔滨市阿城区第4中学,1
660,湖南师范大学,1
661,湖南师范大学附属中学,1
662,上海戏剧学院表演音乐剧系2008届,1
663,美国波士顿大学管理学院经济学系,1
664,南京艺术学院,1
665,北京电影学院2006级表演系本科,1
666,录音艺术专业,1
667,北京电影学院表演系2010级,1
668,北京电影学院表演系本科,1
669,台北市立体育学院,1
670,世新大学,1
671,西北音乐学校,1
672,中北国际演艺专修学校,1
673,培德高中,1
674,北京服装学院,1
675,香港浸会大学,1
676,北京艺校,1
677,首尔艺术大学,1
678,延边大学舞蹈系,1
679,中国传媒大学／香港浸会大学,1
680,安徽理工大学,1
681,安徽财经大学,1
682,中国音乐学院声乐系,1
683,香港理工大学社会科学院,1
684,中央民族大学舞蹈系,1
685,成都中医药大学,1
686,中国音乐学院附中,1
687,天津外国语大学,1
688,解放军艺术学院 ，中央民族大学,1
689,多伦多大学经济学心理学电影学,1
690,杭州师范大学护理专业,1
691,毕业于第四军医大学,1
692,海南大学艺术学院音乐表演专业,1
693,铁岭县艺术团，吉林林越艺术团,1
694,文学双学位,1
695,加拿大温斯顿爵士邱吉尔中等学校,1
696,复兴商工美工科－中华技术学院国贸科,1
697,中学毕业,1
698,台北商业技术学院,1
699,光仁中学（音乐艺术院）,1
700,鲁顿大学,1
701,沈阳市艺术学校,1
702,明爱白英奇专业设计学校,1
703,新疆音乐学院,1
704,陕西省艺术学校,1
705,松山工农电机科夜间部（肄业）,1
706,北京电影学院表演系,1
707,曼彻斯特大学,1
708,国立艺术学院戏剧系,1
709,香港德明中学,1
710,中国文化大学体育系,1
711,国立中兴高级中学,1
712,乌克兰利沃夫国立音乐学院,1
713,多伦多科技学院商业设计科,1
714,拉曼大学会计学士,1
715,北京电影学院（肄业）,1
716,亚利桑那大学音乐学院,1
717,新加坡国立大学经济系,1
718,中国科学院昆明植物研究所,1
719,岭南学院社会科学系,1
720,武汉音乐学院民族声乐系,1
721,南昌师范高等专科学校,1
722,位育中学,1
723,首都师范大学,1
724,台湾中山医学院,1
725,燕山大学计算机系,1
726,法国杜尔大学,1
727,洛杉矶音乐学院,1
728,文藻外国语文专科学校,1
729,江苏师范大学音乐学院,1
