,company,count
760,睿艺环亚（北京）国际文化传媒,1
761,王子异工作室,1
762,新京文唱片公司,1
763,电童文化娱乐,1
764,巨力圣依影视传媒有限公司,1
765,台湾杰星娱乐事业有限公司,1
766,星曜国际娱乐（全约）,1
767,CUBE Entertainment,1
768,少城时代,1
769,香港雨墨唱片有限公司,1
770,北京高平文化传媒有限公司,1
771,上海谭旋音乐工作室 ,1
772,北京灿亮柒号文化传媒股份有限公司,1
773,杭州名星文化传播有限公司,1
774,斯琴高丽工作室,1
775,林翰文化唱片公司,1
776,井姐（上海）文化传播工作室,1
777,星之国际娱乐有限公司,1
778,吴镇宇工作室,1
779,吉马唱片,1
780,正大国际,1
781,华强数字动漫,1
782,可米瑞智国际艺能有限公司,1
783,玉泽东方（北京）文化传媒有限公司,1
784,英皇娱乐（香港）百娱时代（内地）,1
785,海蝶音乐,1
786,红果娱乐,1
787,爱联社国际文化发展有限公司,1
788,TVB NEW MEDIA,1
789,上海花花草草影视文化传媒有限公司,1
790,竹书文化,1
791,诚利千代娱乐集团,1
792,宝丽金及百代,1
793,米未传媒,1
794,声动娱乐 （Mei Entertainment）,1
795,华谊浩瀚,1
796,天高娱乐公司,1
797,歌浴森工作室,1
798,北京君竹影视文化有限公司,1
799,玖月奇迹工作室,1
800,千源影视,1
801,四平市青年文化传媒有限公司,1
802,北京鱼游国际文化传媒有限公司,1
803,张艺兴工作室,1
804,PPM华傲波士达,1
805,北京坤音娱乐经纪有限公司,1
806,霍尊（上海）文化传播工作室,1
807,星娱乐（Neway Star）,1
808,百鸿扬娱乐,1
809,上海喜天影视文化有限公司,1
810,亞樂演藝經紀,1
811,PACIWOOD,1
812,反光镜乐队工作室,1
813,音华娱乐文化传媒,1
814,摩登天空,1
815,华数唱片,1
816,北京隽逸文化传媒有限公司,1
817,程琳工作室（唱片）百娱时代（演出）,1
818,北京练习生文化控股有限公司（北练娱乐）,1
819,FUMUSIC,1
820,孔雀唱片,1
821,星梦娱乐集团有限公司,1
