school	count
西安交通大学国际经济贸易管理专业	1
汉阳大学戏剧电影专业	1
白百合学园毕业，白百合女子大学文学部英语英文学科肄业	1
关东大学实用音乐系硕士研究生在读	1
哈尔滨师范大学	1
甲阳音乐学院	1
育达高职（2005年）	1
世华女子高中	1
高职服装科	1
东京媒体学院（现：东京声优学院）	1
横滨市立金泽高等学校	1
华冈艺术学校	1
北京大学艺术学系	1
新加坡国立大学经济系	1
长春大学音乐表演系	1
文化大学	1
台北私立醒吾技术学院	1
上海戏剧学院表演系本科	1
台湾高雄医学院	1
Long Beach City College	1
帕特森东部高中	1
澳洲悉尼大学法律及经济学士	1
仁德大学放送演艺系	1
香港中文大学	1
沈阳音乐学院南校区声乐教育系	1
解放军艺术学院 ，中央民族大学	1
台湾大学外文系	1
中国音乐学院	1
广州美术学院	1
扬州市戏剧学校	1
美国大学经营系	1
诚信女子大学	1
洗足学园音乐大学	1
首尔公演艺术高中	1
北京现代音乐研修学院	1
东京大学	1
津田塾大学文学部英文学科	1
南加利福尼亚大学	1
河北师范大学	1
霍格沃茨 斯莱特林（1962~1968）	1
永同高中	1
韩国建国大学(语言)	1
立教大学经济学部	1
泰国兰实大学	1
湖南师范大学附属中学	1
中央大学英文系	1
北京天音音乐学校	1
韩国中央大学视觉设计科专业	1
青二塾大阪校28期	1
清华大学肄业	1
延世大学 经营系	1
江东大学实用音乐系（在读中）	1
Jai Hind College	1
韩国明知大学电影表演系	1
湖原大学实用音乐系（休学中）	1
中央戏剧学院表演系	1
北京电影学院导演系	1
明知科技大学戏剧影像学系	1
Amusement Media综合学院大阪校	1
香港大学工商管理学院	1
Settle College	1
美国音乐戏剧学院	1
筑紫女学园高等学校	1
京都府立园部高等学校	1
东京艺术大学作曲科	1
曲阜师范大学	1
St. Bernard's RC Primary School	1
福冈市立百道中学校	1
釜庆大学	1
山东音乐学院	1
东方商专观光科	1
建国大学电影艺术系	1
Park Maitland School	1
丰岛实业高等学校	1
伯克利音乐学院R&B声乐系	1
冲绳县立首里高等学校	1
Stone'd Records	1
成都市桐梓林小学	1
埃尔卡密诺城市学院	1
庆应义塾大学综合政策学部	1
同德女子大学服装设计学系学士	1
诗纳卡宁威洛大学艺术学院	1
台湾中台科技大学护理系	1
兰实大学美术系	1
首都师范大学音乐系	1
广东岭南职业技术学院	1
台大历史系	1
瓦萨学院	1
建国大学映像电影系	1
暻园大学	1
东京艺术大学	1
大阪动画学院	1
哈尔滨青年宫艺术学院	1
纽约拉瓜迪亚高中表演艺术学校	1
Dover College	1
安徽医科大学	1
湖南师范大学	1
东信大学(广播文艺表演专业)	1
嘉义高中	1
乌克兰国立柴科夫斯基音乐学院	1
瑞典耶夫勒国立大学	1
北京戏曲学院	1
观塘利玛窦书院中五毕业	1
莫斯科音乐学院	1
建国大学电影艺术学院	1
庆应义塾大学环境情报学部	1
东亚放送大学	1
青岛科技大学	1
北京电影学院表演系本科2001级	1
明知大学视觉艺术及戏剧系	1
北京市育英学校	1
辽宁师范大学信息管理系	1
山崎学园富士见高等学校	1
波士顿学院（BOSTON COLLEGE）	1
丽水市莲都区第二高级中学	1
内蒙古艺术学校	1
日本埼玉县立越谷北高等学校	1
首尔翰林艺术高中(2013年入学)	1
茱莉亚音乐学院	1
名古屋市立富田高等学校	1
海山高工	1
日本大学艺术学部	1
国立台北艺术大学	1
惠花女子高中	1
多伦多大学	1
韩国中央大学戏剧电影系（在读）	1
上海师范大学谢晋影视艺术学院	1
四川省艺术学院	1
陕西艺术学院	1
A&G学院	1
汉阳大学国际学部	1
加拿大拉塞尔学院	1
世宗大学和弘益大学	1
檀国大学戏剧电影学系	1
明知大学电影音乐剧科	1
韩国檀国大学戏剧电影系	1
澳洲查尔斯特大学	1
俄勒冈大学	1
八尾市立清友高级中学	1
迈阿密卡罗尔城市高中	1
北京师范大学珠海分校	1
劳尔梅里恩高中	1
内蒙古大学艺术学院附中	1
明治大学	1
深圳市电子技术学校	1
首尔艺术高中	1
韩国世宗大学电影艺术学系	1
大连大学音乐学院	1
大阪府立樱塚高等学校	1
北京电影学院表演系本科	1
莫斯科艺术剧院学院	1
东京艺术大学音乐系国乐器专业	1
南开大学	1
台湾大学人类学系	1
香港专业教育学院	1
明治大学附属中野高等学校	1
白石大学	1
济南大学	1
香港中文大学工商管理学	1
上野学园大学在读中	1
台湾科技大学	1
神户女学院大学文学部	1
济南市第12中学	1
上海戏剧学院电视艺术系2001届	1
国立台湾大学；爱荷华大学	1
多摩大学	1
西安音乐学院声乐系	1
齐齐哈尔师范学院	1
相模原市立相原中学校卒业	1
国立东华大学运动与休闲学系	1
古典音乐学校；庆熙大学后现代音乐系（在读）	1
北大附小	1
Eric Hamber Secondary School	1
福建艺术职业学院-声乐系	1
