company	count
SOLID VOX（事务所）	1
华研国际（2000-2018）	1
Bulldocking Headlock	1
fides spatium	1
Young Money	1
604 Records	1
 环球唱片	1
北京德云社	1
I'm Enterprise（声优事务所）	1
DR Music	1
Dandelion（事务所）	1
宝丽金唱片	1
丽风	1
坤音娱乐	1
Universal Music	1
哇唧唧哇娱乐	1
上华唱片	1
尾木Pro THE NEXT	1
北京新声娱乐有限公司	1
索尼音乐	1
Sony BMG	1
太合麦田	1
亚迪传媒	1
Masao Nisugi	1
哥伦比亚唱片	1
云梵文化经纪公司	1
C-Jes娱乐	1
宇桐非影音工作室	1
春生工作室	1
S.A.L.T Entertainment	1
Management	1
HMI Entertainment	1
斯琴高丽工作室	1
records associated sony music	1
MusicWorks	1
Om music	1
上海天人慧致文化传播有限公司	1
元气プロジェクト	1
Taurus	1
APOP娱乐	1
pugnus	1
易石大橙（北京易石大橙文化传播有限公司）	1
M	1
production-ace	1
DIFFERENCE(现)	1
Music Ray’n	1
歌邦娱乐	1
I'm Enterprise（事务所）	1
Jungle Entertainment	1
Interscope.Roc	1
北京百娱国际文化传媒有限公司	1
DNAmodels	1
株式会社AKS	1
米未传媒	1
Syco Music	1
王瑞淇工作室	1
Jive Epic（2008年之后）	1
Woollim Label	1
北京乐之昂文化传媒有限公司	1
不二文化	1
noon company	1
Mosley音乐集团	1
Anjunabeats	1
好莱坞唱片公司	1
ディスカバリー エンターテイメント（Discovery entertainment）	1
映艺娱乐	1
北京星特龙音乐工作室	1
华纳音乐	1
黑金经纪	1
糖衣文化	1
段红工作室	1
MothercompanyEntertainment	1
太合音乐	1
乐王唱片	1
Dream Star Entertainment	1
Rallye-Label	1
LINK-PLAN（声优事务所）	1
OfficePAC	1
Sony	1
amuse事务所	1
MAGNUM RECORDS (2012年 - )	1
Chase	1
明道工作室	1
爱贝克思集团控股公司	1
KATIE CHAN PRODUCTIONS CO.LTD	1
北京树音乐文化传播有限公司	1
寰亚演艺经纪（内地）	1
KIWI MEDIA GROUP	1
北京君竹影视文化有限公司	1
Starship Entertainment韩国	1
香港电视广播有限公司	1
hc entertainment	1
iamagency	1
金牌大风	1
KIDinaKORNER	1
黒猫堂	1
和颂传媒（合伙人）	1
Dreamcatcher Company	1
弯的音乐	1
RME	1
星空动力	1
杰威尔音乐有限公司	1
和颂传媒	1
飞乐唱片	1
Go Good Records	1
Yedang唱片娱乐	1
Banana Culture entertainment	1
北京酝星文化有限公司	1
秦歌传媒	1
 Shinhwa Company	1
VIMS	1
Aftermath娱乐	1
EnterArts Global	1
北京京文公司	1
张冬玲音乐工作室	1
GM Contents Media	1
后青年(大陸)	1
GM	1
BLUE经纪公司	1
TOP Media	1
Cube Entertainment	1
太歌文化	1
Office Anemone	1
ACROSS ENTERTAINMENT	1
LOOK AT ME	1
上海星外星文化传播有限公司	1
Powdered Sugar	1
sony music	1
Edge	1
永佳电影公司	1
白鲸音乐	1
福茂唱片	1
极韵文化	1
泰洋川禾文化传媒	1
Empire Distribution	1
新视镜唱片公司	1
EASTWORLD ? EMI Music Japan	1
Inc	1
丰华唱片股份有限公司	1
青海卫视	1
MOON ? WARNER MUSIC JAPAN	1
Taxi Entertainment	1
ジャグラー	1
英皇娱乐集团有限公司	1
青二	1
Crocodile	1
n.CHEntertainment	1
Coridel Entertainment	1
豪记唱片	1
北京简单快乐文化发展有限公司	1
寰宇娱乐	1
Victor（唱片公司）	1
东映摄影所	1
环球唱片 天韵传媒	1
黑洞唱片公司	1
JKT48 Project	1
音华娱乐文化传媒	1
BS Company	1
北京浩瀚天娇文化传媒有限公司	1
Mellow Head	1
The Turbo Company	1
Starentry Entertainment	1
Aegean	1
莫斯利音乐(Mosley Music)	1
Kiramune（唱片公司）	1
cube entertainment	1
LOVE×TRAX Office	1
天高娱乐公司	1
磁力音乐	1
美妙音乐	1
大西洋公司	1
サンズエンタテインメント	1
北京鑫宝源影视投资有限公司（影视）	1
crocodile	1
NAMOOACTORS	1
贾乃亮工作室	1
百艺星图	1
光纳文化传媒	1
FAITH	1
Warner Bros. Records 	1
 Universal Republic	1
尾木制作	1
玉泽东方（北京）文化传媒有限公司	1
广州品洋文化传播有限公司	1
flyingdog	1
广州东源时代文化传播有限公司	1
韩国DSP公司 星汇传媒	1
BMGJAPAN	1
81PRODUCE	1
cube	1
Dirty Hit Records	1
avex classics	1
Ardent	1
HIGHGRND	1
Stella Entertainment	1
ACROSS ENTERTAINMENT（事务所）	1
Management Soop	1
丽风唱片	1
ケイダッシュステージ	1
奇迈文化（CheckMate Entertainment）	1
